image_path,dataset_sample_index,select_category,pg_box,pg_mask,note
000000005060.jpg,1,person,0,0,
000000005503.jpg,2,toilet,1,1,
000000007386.jpg,5,motorcycle,0,0,
000000015272.jpg,7,traffic light,1,1,
000000018737.jpg,8,motorcycle,1,1,
000000027696.jpg,10,person,0,0,
000000042276.jpg,14,toilet,0,0,
000000045728.jpg,15,knife,0,0,
000000047112.jpg,16,pizza,0,0,
000000050811.jpg,17,dining table,0,0,
000000060090.jpg,19,train,1,1,
000000062554.jpg,20,broccoli,0,0,
000000063602.jpg,21,laptop,0,0,
000000065736.jpg,22,person,1,1,
000000066886.jpg,23,person,1,1,
000000076417.jpg,26,car,0,0,
000000076731.jpg,27,laptop,0,0,
000000077595.jpg,28,cat,0,0,
000000080153.jpg,30,person,0,0,
000000080949.jpg,31,cat,0,0,
000000084170.jpg,33,bus,1,1,
000000085195.jpg,35,cake,1,1,
000000085665.jpg,36,kite,0,0,
000000085911.jpg,37,kite,1,0,
000000090631.jpg,41,airplane,0,0,
000000106330.jpg,44,teddy bear,0,0,
000000106757.jpg,45,elephant,1,1,
000000111951.jpg,50,toilet,0,0,
000000112298.jpg,51,person,0,0,
000000114770.jpg,52,motorcycle,0,0,
000000115118.jpg,53,train,1,1,
000000117719.jpg,54,person,0,0,
000000118515.jpg,55,bench,0,0,
000000119677.jpg,56,cake,0,0,
000000128051.jpg,57,bus,0,0,
000000128658.jpg,59,banana,0,0,
000000130826.jpg,61,bench,0,0,
000000131938.jpg,63,tie,0,0,
000000140987.jpg,66,pizza,0,0,
000000147725.jpg,68,bus,0,0,
000000156372.jpg,69,chair,1,1,
000000159282.jpg,72,vase,0,0,
000000161008.jpg,73,scissors,0,0,
000000161875.jpg,74,person,1,1,
000000163951.jpg,77,banana,0,0,
000000187055.jpg,81,tennis racket,0,0,
000000200421.jpg,85,person,1,1,
000000201646.jpg,86,person,1,1,
000000203294.jpg,87,bus,1,1,
000000205647.jpg,88,truck,1,1,
000000208208.jpg,89,airplane,0,0,
000000210030.jpg,91,cake,0,0,
000000212800.jpg,93,boat,1,0,
000000213255.jpg,94,person,1,0,
000000216277.jpg,95,apple,0,0,
000000216636.jpg,96,cake,0,0,
000000220732.jpg,97,truck,0,0,
000000223090.jpg,98,knife,0,0,
000000227686.jpg,99,horse,0,0,
000000229659.jpg,100,laptop,0,0,
000000231549.jpg,101,bed,0,0,
000000232088.jpg,102,tv,0,0,
000000235057.jpg,104,giraffe,0,0,
000000245576.jpg,105,keyboard,0,0,
000000246436.jpg,106,oven,0,0,
000000250137.jpg,108,umbrella,0,0,
000000259690.jpg,111,chair,0,0,
000000261888.jpg,112,bicycle,0,0,
000000261982.jpg,113,skateboard,0,0,
000000269121.jpg,117,person,0,0,
000000275392.jpg,121,horse,1,0,
000000278463.jpg,123,laptop,0,0,
000000278848.jpg,124,bus,1,0,
000000280325.jpg,125,parking meter,0,0,
000000284279.jpg,127,bird,0,0,
000000290619.jpg,128,banana,0,0,
000000297353.jpg,129,person,0,0,
000000298396.jpg,130,dining table,0,0,
000000298738.jpg,131,bear,0,0,
000000305695.jpg,133,truck,1,1,
000000308394.jpg,134,bench,0,0,
000000312213.jpg,135,cat,0,0,
000000315257.jpg,136,bird,1,0,
000000342971.jpg,140,person,1,1,
000000347174.jpg,141,bed,1,0,
000000348488.jpg,142,vase,1,1,
000000353970.jpg,147,chair,1,0,
000000355257.jpg,148,person,1,0,
000000357888.jpg,149,kite,0,0,
000000359781.jpg,150,giraffe,0,0,
000000359833.jpg,151,person,0,0,
000000364636.jpg,153,dog,1,1,
000000365385.jpg,154,sink,0,0,
000000365655.jpg,155,bus,0,0,
000000374982.jpg,159,pizza,1,0,
000000376625.jpg,160,train,1,1,
000000384850.jpg,162,toilet,1,1,
000000386879.jpg,164,tennis racket,0,0,
000000387098.jpg,165,laptop,0,0,
000000389812.jpg,168,person,1,0,
000000395633.jpg,172,boat,1,0,
000000396526.jpg,173,dining table,0,0,
000000402774.jpg,175,person,1,1,
000000406997.jpg,176,sheep,0,0,
000000407403.jpg,177,vase,1,1,
000000411774.jpg,178,person,1,0,
000000415748.jpg,181,elephant,1,1,
000000416256.jpg,182,cat,0,0,
000000416885.jpg,183,dining table,0,0,
000000417285.jpg,184,cup,0,0,
000000427655.jpg,186,horse,1,0,
000000433134.jpg,188,cat,0,0,
000000437514.jpg,189,bench,0,0,
000000438876.jpg,190,person,1,0,
000000445675.jpg,193,giraffe,0,0,
000000448256.jpg,194,truck,1,1,
000000449432.jpg,196,bus,1,1,
000000455085.jpg,198,bus,1,1,
000000456559.jpg,199,person,1,1,
000000460927.jpg,201,bear,0,0,
000000474786.jpg,205,tv,0,0,
000000475150.jpg,206,giraffe,0,0,
000000475387.jpg,207,train,0,0,
000000476810.jpg,208,remote,0,0,
000000460333.jpg,210,bed,0,0,
000000486438.jpg,211,person,0,0,
000000497599.jpg,217,laptop,0,0,
000000506310.jpg,221,refrigerator,0,0,
000000515025.jpg,224,person,0,0,
000000516143.jpg,225,bus,0,0,
000000519338.jpg,226,train,1,1,
000000520531.jpg,227,cat,0,0,
000000521282.jpg,228,vase,0,0,
000000522940.jpg,229,stop sign,1,1,
000000528705.jpg,230,person,0,0,
000000533536.jpg,231,tv,0,0,
000000534601.jpg,232,teddy bear,0,0,
000000549738.jpg,234,kite,0,0,
000000550322.jpg,235,cup,0,0,
000000550426.jpg,236,vase,1,1,
000000556873.jpg,237,cake,0,0,
000000557672.jpg,238,umbrella,0,0,
000000561256.jpg,240,person,1,0,
000000561465.jpg,241,dining table,1,0,
000000564091.jpg,242,person,1,1,
000000568690.jpg,244,toilet,1,0,
000000570169.jpg,245,teddy bear,1,0,
000000572462.jpg,246,train,0,0,
000000575500.jpg,247,banana,1,1,
000000580410.jpg,249,couch,0,0,
